topic,app,applicationCategory,systemBandwidth,commChannelLossAN,commChannelLossRT,commChannelLossTS,commChannelLossVS,brokerCapacity,priority,priorityID,processingRate,publishFrequency,messageSize,scenario_case,latency
printing,app18,TS,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,624394.2,80,
printing,app2,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,624394.2,80,
printing,app4,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,624394.2,80,
printing,app5,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,624394.2,80,
smartthings,app11,TS,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,205264.41,80,
smartthings,app14,TS,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,205264.41,80,
smartthings,app1,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,205264.41,80,
smartthings,app21,RT,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,205264.41,80,
smartthings,app28,RT,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,205264.41,80,
smartthings,app3,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,205264.41,80,
smartthings,app8,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,205264.41,80,
videosurveillance,app26,RT,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,14310092.37,80,
videosurveillance,app36,VS,650,0.0,0.0,0,0.0,100,0,dropVS,1000,1,14310092.37,80,
videosurveillance,app37,VS,650,0.0,0.0,0,0.0,100,0,dropVS,1000,1,14310092.37,80,
videosurveillance,app38,VS,650,0.0,0.0,0,0.0,100,0,dropVS,1000,1,14310092.37,80,
videosurveillance,app39,VS,650,0.0,0.0,0,0.0,100,0,dropVS,1000,1,14310092.37,80,
videosurveillance,app46,VS,650,0.0,0.0,0,0.0,100,0,dropVS,1000,1,14310092.37,80,
videosurveillance,app4,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,14310092.37,80,
videosurveillance,app7,AN,650,0.0,0.0,0,0.0,100,1,dropVS,1000,1,14310092.37,80,
amazonecho,app14,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,80,3.134352992396494
amazonecho,app21,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,80,3.156542341508705
amazonecho,app27,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,80,3.0958914539350904
amazonecho,app30,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,80,3.0692642350001966
amazonecho,app32,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,80,3.135832282337444
amazonecho,app5,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,80,3.3390836127976957
amazonecho,app7,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,80,3.074449169150831
amazonecho,app8,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,80,3.0717557852996715
bms,app12,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,80,2.8093226377838434
bms,app17,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,80,2.7752881130914897
bms,app1,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,80,2.8190420821795543
bms,app27,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,80,2.771225553817098
bms,app2,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,80,2.8164905643681104
bms,app30,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,80,2.7737497998450844
bms,app8,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,80,2.78490092484095
energymanagement,app12,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.0644006171743667
energymanagement,app1,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.0798598604794702
energymanagement,app24,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.037542683771348
energymanagement,app27,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.062936555913968
energymanagement,app2,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.0146269646256787
energymanagement,app30,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.0498956961115207
energymanagement,app32,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.068549535062504
energymanagement,app3,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.0438300467751254
energymanagement,app4,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.0751103167675304
energymanagement,app5,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.070150201947923
energymanagement,app6,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.043503028354383
energymanagement,app7,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.063597712708074
energymanagement,app8,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,80,3.076841774286019
firedetection,app1,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,80,2.9199593855256296
firedetection,app22,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,80,2.7849306258928976
firedetection,app23,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,80,2.8384423315779874
firedetection,app25,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,80,2.781399727276435
firedetection,app27,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,80,2.8308818941133382
firedetection,app29,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,80,2.8986777400647656
firedetection,app30,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,80,2.774670063587942
firedetection,app31,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,80,2.740433880588861
firedetection,app7,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,80,2.7412896247563068
intrusiondetection,app21,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,80,2.8499179921616244
intrusiondetection,app24,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,80,2.843094891654893
intrusiondetection,app2,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,80,2.878296192674423
intrusiondetection,app36,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,80,2.8745710576360235
intrusiondetection,app40,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,80,2.879205282912749
intrusiondetection,app41,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,80,2.830592538917565
intrusiondetection,app45,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,80,2.830807026762503
intrusiondetection,app47,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,80,2.865954290147425
intrusiondetection,app6,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,80,2.885479508741817
occupancymanagement,app12,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,80,3.0990269222316678
occupancymanagement,app17,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,80,3.071520908121133
occupancymanagement,app21,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,80,3.062269664123345
occupancymanagement,app42,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,80,3.0175525622803736
occupancymanagement,app43,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,80,3.0639330017104087
occupancymanagement,app44,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,80,3.0947423912444245
occupancymanagement,app5,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,80,3.0170185035215056
occupancymanagement,app8,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,80,3.202017490113781
printing,app11,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,80,2.901289610051596
printing,app12,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,80,2.922302175347689
printing,app13,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,80,2.921111089192432
printing,app14,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,80,2.987524582895867
printing,app15,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,80,2.942193283428808
printing,app16,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,80,2.926402434382333
printing,app17,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,80,2.9905022560572085
printing,app18,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,80,2.9062961936990845
printing,app2,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,80,2.890867719778619
printing,app4,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,80,2.938708821103477
printing,app5,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,80,2.9775926793270484
smartthings,app11,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,80,2.7624313123772666
smartthings,app14,TS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,80,2.8522900316557167
smartthings,app1,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,80,2.927409011718037
smartthings,app21,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,80,2.787220232251981
smartthings,app28,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,80,2.7960697897740743
smartthings,app3,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,80,2.8528044795991754
smartthings,app8,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,80,2.7253577659279613
videosurveillance,app26,RT,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,80,2.865389167262692
videosurveillance,app36,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,80,2.871534033379201
videosurveillance,app37,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,80,2.864288772173897
videosurveillance,app38,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,80,2.847494585786832
videosurveillance,app39,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,80,2.8696905877432792
videosurveillance,app46,VS,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,80,2.864829698295968
videosurveillance,app4,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,80,2.8669813366614223
videosurveillance,app7,AN,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,80,2.8603499452059724
amazonecho,app14,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,80,3.872283646437905
amazonecho,app21,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,80,3.870910020063479
amazonecho,app27,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,80,3.903440804509545
amazonecho,app30,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,80,3.8780934471137374
amazonecho,app32,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,80,3.8415922682031742
amazonecho,app5,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,80,3.6902392042641337
amazonecho,app7,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,80,3.848794192562057
amazonecho,app8,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,80,3.879972910636066
bms,app12,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,16091324.56,80,3.814456528177118
bms,app17,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,16091324.56,80,3.865343102446055
bms,app1,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,16091324.56,80,3.811334066005398
