topic,app,applicationCategory,latency,systemBandwidth,commChannelLossAN,commChannelLossRT,commChannelLossTS,commChannelLossVS,brokerCapacity,priority,priorityID,processingRate,publishFrequency,messageSize,scenario_case
intrusiondetection,app2,AN,0.208115891160417,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,47583046.2,20
intrusiondetection,app21,RT,0.2068242993222226,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,47583046.2,20
videosurveillance,app38,VS,0.2083694817499908,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,14310092.37,20
intrusiondetection,app36,VS,0.2066530800012812,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,47583046.2,20
smartthings,app1,AN,0.1685866679599369,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,205264.41,20
bms,app2,AN,0.1698006180601133,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,16091324.56,20
occupancymanagement,app21,RT,0.1778313812451638,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,280313.84,20
printing,app2,AN,0.1646498413601958,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,624394.2,20
firedetection,app23,RT,0.2080309435140085,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,20
firedetection,app22,RT,0.2031570295491945,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,20
amazonecho,app21,RT,0.1318264403466238,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,105869.28,20
printing,app11,TS,0.1728939179586036,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,624394.2,20
energymanagement,app2,AN,0.1693430606273677,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,20
energymanagement,app1,AN,0.1697338508539262,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,20
smartthings,app22,RT,0.1635655793880022,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,205264.41,20
firedetection,app1,AN,0.1976473876759927,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,20
bms,app21,RT,0.1703061637922078,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,16091324.56,20
occupancymanagement,app12,TS,0.174168377582236,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,280313.84,20
videosurveillance,app2,AN,0.2077771990195704,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,14310092.37,20
videosurveillance,app36,VS,0.2086508287207234,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,14310092.37,20
intrusiondetection,app2,AN,0.2960321091303749,650,0.0,0,0,0.0,100,3,prioRTVSTSAN,1000,1,47583046.2,20
intrusiondetection,app21,RT,0.1279374537733057,650,0.0,0,0,0.0,100,0,prioRTVSTSAN,1000,1,47583046.2,20
videosurveillance,app38,VS,0.1702187496936768,650,0.0,0,0,0.0,100,1,prioRTVSTSAN,1000,1,14310092.37,20
intrusiondetection,app36,VS,0.1934609577862735,650,0.0,0,0,0.0,100,1,prioRTVSTSAN,1000,1,47583046.2,20
smartthings,app1,AN,0.2150866836077806,650,0.0,0,0,0.0,100,3,prioRTVSTSAN,1000,1,205264.41,20
bms,app2,AN,0.2111240755872631,650,0.0,0,0,0.0,100,3,prioRTVSTSAN,1000,1,16091324.56,20
occupancymanagement,app21,RT,0.121068685246214,650,0.0,0,0,0.0,100,0,prioRTVSTSAN,1000,1,280313.84,20
printing,app2,AN,0.2125275253198932,650,0.0,0,0,0.0,100,3,prioRTVSTSAN,1000,1,624394.2,20
firedetection,app23,RT,0.1523163931911118,650,0.0,0,0,0.0,100,0,prioRTVSTSAN,1000,1,191693.0,20
firedetection,app22,RT,0.1495308778707813,650,0.0,0,0,0.0,100,0,prioRTVSTSAN,1000,1,191693.0,20
amazonecho,app21,RT,0.0942124904749724,650,0.0,0,0,0.0,100,0,prioRTVSTSAN,1000,1,105869.28,20
printing,app11,TS,0.1520049134852691,650,0.0,0,0,0.0,100,2,prioRTVSTSAN,1000,1,624394.2,20
energymanagement,app2,AN,0.1961693244053369,650,0.0,0,0,0.0,100,3,prioRTVSTSAN,1000,1,3324693.6,20
energymanagement,app1,AN,0.1943191146762577,650,0.0,0,0,0.0,100,3,prioRTVSTSAN,1000,1,3324693.6,20
smartthings,app22,RT,0.1173187441143397,650,0.0,0,0,0.0,100,0,prioRTVSTSAN,1000,1,205264.41,20
firedetection,app1,AN,0.2995201643485798,650,0.0,0,0,0.0,100,3,prioRTVSTSAN,1000,1,191693.0,20
bms,app21,RT,0.1201461431206025,650,0.0,0,0,0.0,100,0,prioRTVSTSAN,1000,1,16091324.56,20
occupancymanagement,app12,TS,0.1785496658035007,650,0.0,0,0,0.0,100,2,prioRTVSTSAN,1000,1,280313.84,20
videosurveillance,app2,AN,0.2926564186803873,650,0.0,0,0,0.0,100,3,prioRTVSTSAN,1000,1,14310092.37,20
videosurveillance,app36,VS,0.1718703080443124,650,0.0,0,0,0.0,100,1,prioRTVSTSAN,1000,1,14310092.37,20
intrusiondetection,app2,AN,0.2445117883962342,650,0.0,0,0,0.0,100,1,prioRT,1000,1,47583046.2,20
intrusiondetection,app21,RT,0.1293648186320302,650,0.0,0,0,0.0,100,0,prioRT,1000,1,47583046.2,20
videosurveillance,app38,VS,0.2236543291956319,650,0.0,0,0,0.0,100,1,prioRT,1000,1,14310092.37,20
intrusiondetection,app36,VS,0.2453045866112813,650,0.0,0,0,0.0,100,1,prioRT,1000,1,47583046.2,20
smartthings,app1,AN,0.1867748775017686,650,0.0,0,0,0.0,100,1,prioRT,1000,1,205264.41,20
bms,app2,AN,0.1938827165144857,650,0.0,0,0,0.0,100,1,prioRT,1000,1,16091324.56,20
occupancymanagement,app21,RT,0.1211926809959696,650,0.0,0,0,0.0,100,0,prioRT,1000,1,280313.84,20
printing,app2,AN,0.174812517094764,650,0.0,0,0,0.0,100,1,prioRT,1000,1,624394.2,20
firedetection,app23,RT,0.1518092917745872,650,0.0,0,0,0.0,100,0,prioRT,1000,1,191693.0,20
firedetection,app22,RT,0.1516052517827777,650,0.0,0,0,0.0,100,0,prioRT,1000,1,191693.0,20
amazonecho,app21,RT,0.0958675491880095,650,0.0,0,0,0.0,100,0,prioRT,1000,1,105869.28,20
printing,app11,TS,0.1776639759806632,650,0.0,0,0,0.0,100,1,prioRT,1000,1,624394.2,20
energymanagement,app2,AN,0.1820721583279829,650,0.0,0,0,0.0,100,1,prioRT,1000,1,3324693.6,20
energymanagement,app1,AN,0.1802915680539711,650,0.0,0,0,0.0,100,1,prioRT,1000,1,3324693.6,20
smartthings,app22,RT,0.1218934972005145,650,0.0,0,0,0.0,100,0,prioRT,1000,1,205264.41,20
firedetection,app1,AN,0.259542407464068,650,0.0,0,0,0.0,100,1,prioRT,1000,1,191693.0,20
bms,app21,RT,0.1195719358707227,650,0.0,0,0,0.0,100,0,prioRT,1000,1,16091324.56,20
occupancymanagement,app12,TS,0.1928809171446109,650,0.0,0,0,0.0,100,1,prioRT,1000,1,280313.84,20
videosurveillance,app2,AN,0.2227476170633097,650,0.0,0,0,0.0,100,1,prioRT,1000,1,14310092.37,20
videosurveillance,app36,VS,0.2223458510030235,650,0.0,0,0,0.0,100,1,prioRT,1000,1,14310092.37,20
intrusiondetection,app2,AN,0.2050245425298252,650,0.02,0,0,0.02,100,0,dropVS2AN2,1000,1,47583046.2,20
intrusiondetection,app21,RT,0.2039912073715289,650,0.02,0,0,0.02,100,0,dropVS2AN2,1000,1,47583046.2,20
videosurveillance,app38,VS,0.203936290996418,650,0.02,0,0,0.02,100,0,dropVS2AN2,1000,1,14310092.37,20
intrusiondetection,app36,VS,0.2049121705302858,650,0.02,0,0,0.02,100,0,dropVS2AN2,1000,1,47583046.2,20
smartthings,app1,AN,0.1725564286933243,650,0.02,0,0,0.02,100,0,dropVS2AN2,1000,1,205264.41,20
bms,app2,AN,0.1681942197384893,650,0.02,0,0,0.02,100,0,dropVS2AN2,1000,1,16091324.56,20
occupancymanagement,app21,RT,0.1641786843522847,650,0.02,0,0,0.02,100,0,dropVS2AN2,1000,1,280313.84,20
