topic,app,applicationCategory,latency,systemBandwidth,commChannelLossAN,commChannelLossRT,commChannelLossTS,commChannelLossVS,brokerCapacity,priority,priorityID,processingRate,publishFrequency,messageSize,scenario_case
amazonecho,app14,TS,0.4766289550938926,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,105869.28,40
amazonecho,app21,RT,0.4889915924563053,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,105869.28,40
amazonecho,app3,AN,0.4992937902583329,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,105869.28,40
bms,app12,TS,0.477336446801928,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,16091324.56,40
bms,app1,AN,0.4801852447289053,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,16091324.56,40
bms,app21,RT,0.4808163286808512,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,16091324.56,40
bms,app2,AN,0.4800585404002247,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,16091324.56,40
energymanagement,app1,AN,0.4787223995885717,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,40
energymanagement,app24,RT,0.4838795718476228,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,40
energymanagement,app2,AN,0.4790035107209462,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,40
energymanagement,app3,AN,0.480220770179421,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,3324693.6,40
firedetection,app1,AN,0.4925212157327009,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,40
firedetection,app22,RT,0.4764116708274741,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,40
firedetection,app23,RT,0.4824527501668877,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,40
firedetection,app25,RT,0.4824527501668639,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,191693.0,40
intrusiondetection,app21,RT,0.5193100578004639,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,47583046.2,40
intrusiondetection,app2,AN,0.5183410268314474,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,47583046.2,40
intrusiondetection,app36,VS,0.5194549722704053,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,47583046.2,40
intrusiondetection,app40,VS,0.5193356099219697,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,47583046.2,40
intrusiondetection,app41,VS,0.5141304454116178,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,47583046.2,40
occupancymanagement,app12,TS,0.4842706063846795,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,280313.84,40
occupancymanagement,app21,RT,0.4793172264313208,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,280313.84,40
occupancymanagement,app36,VS,0.4817305082476482,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,280313.84,40
occupancymanagement,app37,VS,0.4887918288603984,650,0.0,0,0,0.01,100,0,dropVS1,1000,1,280313.84,40
